Id,newId
3.0,174
5.0,348
7.0,391
9.0,464
14.0,269
18.0,18.0
29.0,467
30.0,339
31.0,118
34.0,227
38.0,79.0
39.0,480
40.0,40.0
41.0,254
49.0,373
50.0,387
74.0,46
75.0,233.0
76.0,76.0
77.0,77.0
80.0,80.0
81.0,81.0
91.0,353
92.0,470
93.0,372
106.0,247
107.0,483
110.0,256
111.0,205
120.0,344
121.0,143
132.0,472
138.0,138.0
139.0,139.0
140.0,466
141.0,141.0
142.0,142.0
171.0,171.0
172.0,172.0
179.0,131
180.0,180.0
181.0,221
182.0,324.0
191.0,457
192.0,19
193.0,124.0
194.0,194.0
195.0,195.0
196.0,246
197.0,361
198.0,198.0
200.0,363
203.0,203.0
204.0,204
206.0,356
207.0,342
210.0,223
211.0,183
215.0,395
220.0,220.0
224.0,224.0
225.0,225.0
235.0,431
238.0,238
239.0,239.0
240.0,482
241.0,252.0
242.0,242.0
243.0,243
244.0,399
245.0,245.0
266.0,266.0
267.0,37
268.0,255
296.0,144
297.0,130
317.0,317.0
318.0,318.0
319.0,319.0
320.0,320.0
321.0,322
327.0,327.0
349.0,84
350.0,350.0
351.0,351
352.0,352
376.0,376.0
380.0,116
381.0,381.0
384.0,384.0
385.0,385.0
389.0,389
390.0,390.0
393.0,400
401.0,123
403.0,378
409.0,417
424.0,424.0
433.0,433.0
451.0,451.0
452.0,452.0
453.0,453
454.0,454.0
455.0,382
459.0,459.0
461.0,461.0
462.0,462
468.0,468
469.0,469.0
475.0,475.0
476.0,476
477.0,477.0
478.0,478.0
