Id,newId
3,3
5,129
7,7
9,407
14,14
18,18
29,29
30,339
31,96
34,34
38,38
39,62
40,40
41,448
49,420
50,441
74,411
75,58
76,76
77,77
80,80
81,81
91,91
92,17
93,375
106,307
107,107
110,68
111,126
120,437
121,121
132,132
138,369
139,479
140,140
141,141
142,328
171,171
172,163
179,179
180,180
181,181
182,182
191,191
192,192
193,193
194,194
195,195
196,196
197,197
198,293
200,200
203,203
204,204
206,291
207,207
210,210
211,211
215,215
220,220
224,224
225,225
235,235
238,238
239,239
240,237
241,387
242,113
243,243
244,399
245,245
266,266
267,267
268,268
296,296
297,297
317,185
318,318
319,319
320,320
321,321
327,327
349,349
350,350
351,351
352,352
376,376
380,380
381,381
384,384
385,385
389,389
390,390
393,393
401,401
403,403
409,409
424,424
433,433
451,386
452,370
453,453
454,454
455,455
459,89
461,461
462,462
468,468
469,469
475,475
476,476
477,477
478,478
