Id,newId
3.0,426.0
5.0,129
7.0,443
9.0,388
14.0,223
18.0,396
29.0,184
30.0,130
31.0,118
34.0,34.0
38.0,38.0
39.0,480
40.0,40.0
41.0,65
49.0,441
50.0,387
74.0,411
75.0,6
76.0,76.0
77.0,247
80.0,80.0
81.0,81.0
91.0,483
92.0,250.0
93.0,143
106.0,175
107.0,255.0
110.0,68
111.0,119
120.0,120.0
121.0,121.0
132.0,466
138.0,138.0
139.0,139.0
140.0,140.0
141.0,141.0
142.0,142
171.0,171
172.0,172.0
179.0,179.0
180.0,183
181.0,324
182.0,182.0
191.0,191.0
192.0,59
193.0,124
194.0,194.0
195.0,195.0
196.0,246
197.0,197.0
198.0,198.0
200.0,116.0
203.0,227
204.0,229
206.0,36
207.0,342
210.0,210.0
211.0,211.0
215.0,465
220.0,220
224.0,224.0
225.0,233
235.0,457
238.0,82
239.0,239.0
240.0,240
241.0,252.0
242.0,213
243.0,243.0
244.0,244
245.0,245.0
266.0,266.0
267.0,267.0
268.0,268.0
296.0,35
297.0,297.0
317.0,317.0
318.0,318
319.0,319.0
320.0,320.0
321.0,321
327.0,83
349.0,48.0
350.0,350.0
351.0,351.0
352.0,352.0
376.0,53
380.0,412
381.0,70
384.0,384.0
385.0,385
389.0,389
390.0,390.0
393.0,393
401.0,463
403.0,56
409.0,409.0
424.0,424.0
433.0,251
451.0,451.0
452.0,452.0
453.0,117
454.0,454.0
455.0,455.0
459.0,395
461.0,112
462.0,462.0
468.0,269
469.0,469.0
475.0,408
476.0,476
477.0,477.0
478.0,478.0
