PlotID,YardID,PlotArea,YardArea,PlotDirection,IsInhabited
1,1,23,54,East,0
2,2,15,42,East,0
3,3,48,903,North,1
4,3,65,903,North,0
5,3,68,903,South,1
6,3,30,903,West,0
7,3,113,903,South,1
8,3,63,903,West,0
9,3,100,903,East,1
10,4,19,167,South,0
11,4,28,167,South,0
12,4,14,167,South,0
13,4,32,167,West,0
14,5,33,221,South,1
15,5,33,221,West,0
16,5,36,221,West,0
17,5,14,221,North,0
18,6,40,495,South,1
19,6,18,495,North,0
20,6,28,495,South,0
21,6,29,495,North,0
22,6,14,495,West,0
23,6,17,495,East,0
24,6,64,495,North,0
25,7,20,309,West,0
26,7,57,309,East,0
27,7,47,309,North,0
28,7,34,309,West,0
29,8,27,170,East,1
30,8,42,170,South,1
31,8,53,170,South,1
32,9,120,284,East,0
33,9,64,284,North,0
34,10,38,235,South,1
35,10,42,235,North,0
36,10,17,235,South,0
37,10,22,235,North,0
38,11,74,1153,South,1
39,11,19,1153,North,1
40,11,111,1153,East,1
41,11,77,1153,West,1
42,11,91,1153,East,0
43,11,18,1153,West,0
44,11,47,1153,South,0
45,11,22,1153,South,0
46,11,75,1153,South,0
47,11,25,1153,South,0
48,11,11,1153,North,0
49,12,122,542,South,1
50,12,131,542,North,1
51,12,80,542,South,0
52,12,157,542,North,0
53,13,45,435,South,0
54,13,19,435,South,0
55,13,20,435,South,0
56,13,86,435,North,0
57,14,59,166,West,0
58,14,26,166,North,0
59,15,20,554,South,0
60,15,19,554,South,0
61,15,56,554,East,0
62,15,22,554,North,0
63,15,86,554,East,0
64,15,79,554,South,0
65,15,78,554,South,0
66,16,120,892,West,0
67,16,20,892,South,0
68,16,70,892,North,0
69,16,68,892,West,0
70,16,138,892,South,0
71,16,31,892,East,0
72,16,77,892,East,0
73,16,116,892,West,0
74,17,68,441,West,1
75,17,24,441,West,1
76,17,68,441,North,1
77,17,41,441,East,1
78,17,86,441,East,0
79,17,86,441,North,0
80,18,71,378,South,1
81,18,71,378,South,1
82,18,45,378,South,0
83,18,23,378,South,0
84,18,12,378,South,0
85,19,20,349,East,0
86,19,43,349,West,0
87,19,13,349,South,0
88,19,47,349,West,0
89,19,56,349,South,0
90,19,43,349,West,0
91,20,16,181,East,1
92,20,13,181,West,1
93,20,30,181,East,1
94,20,11,181,West,0
95,20,30,181,East,0
96,21,64,336,North,0
97,21,18,336,North,0
98,21,33,336,North,0
99,21,61,336,East,0
100,21,39,336,West,0
101,21,55,336,West,0
102,22,63,97,East,0
103,23,12,84,West,0
104,23,27,84,West,0
105,23,13,84,West,0
106,24,45,90,East,1
107,24,16,90,South,1
108,25,32,124,West,0
109,25,16,124,South,0
110,26,54,130,West,1
111,26,19,130,East,1
112,27,114,920,North,0
113,27,110,920,North,0
114,27,106,920,North,0
115,27,60,920,South,0
116,27,73,920,North,0
117,27,117,920,North,0
118,27,67,920,South,0
119,27,24,920,South,0
